
2024/06/20 (14:20:54) | ERROR: Invalid size of hex value: 1e1e2e99

2024/06/20 (14:22:51) | ===> btop++ v.1.3.2
2024/06/20 (14:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/20 (14:22:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/20 (14:22:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/20 (14:22:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/20 (14:22:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:17:50) | ===> btop++ v.1.3.2
2024/06/21 (11:17:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:17:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:17:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:17:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:17:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:22:47) | ===> btop++ v.1.3.2
2024/06/21 (11:22:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:22:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:22:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:22:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:22:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:22:54) | ===> btop++ v.1.3.2
2024/06/21 (11:22:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:22:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:22:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:22:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:22:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:23:06) | ===> btop++ v.1.3.2
2024/06/21 (11:23:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:23:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:23:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:23:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:23:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:24:35) | ===> btop++ v.1.3.2
2024/06/21 (11:24:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:24:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:24:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:24:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:24:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:25:04) | ===> btop++ v.1.3.2
2024/06/21 (11:25:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:25:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:25:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:25:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:25:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:25:31) | ===> btop++ v.1.3.2
2024/06/21 (11:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:25:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:25:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:25:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:25:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:26:00) | ===> btop++ v.1.3.2
2024/06/21 (11:26:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:26:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:26:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:26:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:26:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (11:26:09) | ===> btop++ v.1.3.2
2024/06/21 (11:26:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (11:26:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (11:26:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (11:26:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (11:26:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (13:17:44) | ===> btop++ v.1.3.2
2024/06/21 (13:17:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (13:17:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (13:17:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (13:17:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (13:17:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/06/21 (22:08:27) | ===> btop++ v.1.3.2
2024/06/21 (22:08:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/06/21 (22:08:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/21 (22:08:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/06/21 (22:08:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/06/21 (22:08:27) | WARNING: ROCm SMI: Failed to get PCIe throughput
